time,NO2
2020-11-20,3.3609493e-05
2020-11-21,3.2667793e-05
2020-11-22,3.1726093e-05
2020-11-23,5.611008e-05
2020-11-24,4.8295537e-05
2020-11-25,7.33265e-05
2020-11-26,5.945890833333334e-05
2020-11-27,4.559131666666667e-05
2020-11-28,3.1723725e-05
2020-11-29,5.6416862e-05
2020-11-30,6.8343836e-05
2020-12-01,8.027081e-05
2020-12-02,6.693427100000001e-05
2020-12-03,5.3597732000000004e-05
2020-12-05,2.6924654e-05
2020-12-06,2.7504148e-05
2020-12-08,2.8663136e-05
2020-12-09,2.924263e-05
2020-12-10,2.9822124e-05
2020-12-11,3.4579817249999996e-05
2020-12-12,3.93375105e-05
2020-12-13,4.4095203749999996e-05
2020-12-14,4.8852897e-05
2020-12-15,3.882177e-05
2020-12-16,3.104928e-05
2020-12-17,3.124791e-05
2020-12-18,3.144654e-05
2020-12-19,3.164517e-05
2020-12-20,3.102627e-05
2020-12-21,2.93947115e-05
2020-12-22,2.7763153e-05
2020-12-23,3.63196365e-05
2020-12-24,4.487612e-05
2020-12-25,2.7077183e-05
2020-12-26,3.60975e-05
2020-12-27,3.394438e-05
2020-12-28,3.5453309999999995e-05
2020-12-29,3.696224e-05
2020-12-30,3.847117e-05
2020-12-31,3.99801e-05
2021-01-01,3.3441684e-05
2021-01-02,3.358885e-05
2021-01-03,2.3869588e-05
2021-01-04,2.4979208e-05
2021-01-05,2.5670286e-05
2021-01-06,2.6361364e-05
2021-01-07,2.83678892e-05
2021-01-09,3.2380939599999997e-05
2021-01-10,3.43874648e-05
2021-01-11,3.639399e-05
2021-01-12,6.6270855e-05
2021-01-13,5.78331934e-05
2021-01-14,4.93955318e-05
2021-01-15,4.09578702e-05
2021-01-16,3.25202086e-05
2021-01-17,2.4082547e-05
2021-01-18,2.7151370250000003e-05
2021-01-19,3.02201935e-05
2021-01-20,3.328901675e-05
2021-01-21,3.635784e-05
2021-01-22,4.5133536e-05
2021-01-23,4.9315717e-05
2021-01-24,4.466865133333333e-05
2021-01-25,4.002158566666667e-05
2021-01-26,3.537452e-05
2021-01-27,3.3445456e-05
2021-01-28,3.079180925e-05
2021-01-29,2.8138162500000002e-05
2021-01-30,2.548451575e-05
2021-01-31,2.2830869e-05
2021-02-01,2.7475555e-05
2021-02-02,4.329715e-05
2021-02-03,3.264396e-05
2021-02-04,4.5810237e-05
2021-02-05,3.760129533333333e-05
2021-02-06,2.9392353666666668e-05
2021-02-07,2.1183412e-05
2021-02-08,2.6966554e-05
2021-02-09,3.2749696e-05
2021-02-10,3.8532838e-05
2021-02-11,4.431598e-05
2021-02-12,2.446377e-05
2021-02-13,3.57107e-05
2021-02-14,4.028322e-05
2021-02-15,4.0262697e-05
2021-02-16,3.349987e-05
2021-02-17,4.6132285e-05
2021-02-18,4.0888022e-05
2021-02-19,4.6204445e-05
2021-02-20,3.47498925e-05
2021-02-21,2.329534e-05
2021-02-22,2.4758532333333334e-05
2021-02-23,2.6221724666666665e-05
2021-02-24,2.7684917e-05
2021-02-26,3.531195e-05
2021-02-27,2.5930742e-05
2021-02-28,3.31405935e-05
2021-03-01,4.0350445e-05
2021-03-02,2.3912422e-05
2021-03-03,3.0193149e-05
2021-03-04,3.5989786e-05
2021-03-05,3.863674e-05
2021-03-06,4.1999119e-05
2021-03-07,4.5361498000000004e-05
2021-03-08,4.8723877e-05
2021-03-09,5.2086256e-05
2021-03-10,5.5104632e-05
2021-03-11,3.461962e-05
2021-03-12,3.75483e-05
2021-03-14,3.5983892e-05
2021-03-15,5.7746598e-05
2021-03-16,1.2783111e-05
2021-03-17,2.4466812e-05
2021-03-18,4.7558475e-05
2021-03-19,3.749348e-05
2021-03-20,3.6398247e-05
2021-03-21,3.264707e-05
2021-03-22,5.547014e-05
2021-03-23,5.7640613e-05
2021-03-24,5.5283428e-05
2021-03-25,4.4994158e-05
2021-03-26,3.9195573e-05
2021-03-27,2.2663586e-05
2021-03-28,4.732567e-05
2021-03-29,4.1204774e-05
2021-03-30,3.5083878e-05
2021-03-31,5.5530807e-05
2021-04-01,4.1823918e-05
2021-04-02,3.6612855e-05
2021-04-03,3.481482e-05
2021-04-04,4.6649802e-05
2021-04-05,4.6133933e-05
2021-04-06,3.9571297499999995e-05
2021-04-07,3.3008662e-05
2021-04-08,4.0080434499999994e-05
2021-04-09,4.7152207e-05
2021-04-10,4.5608933e-05
2021-04-11,4.2319534e-05
2021-04-12,6.182269e-05
2021-04-14,5.089638066666667e-05
2021-04-15,4.5433226e-05
2021-04-16,4.408163e-05
2021-04-17,3.9246996e-05
2021-04-18,3.1058975e-05
